"Periodo";"Municipios";"Sexo";"Edad";"Valor"
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 55 a 59 años";2555
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 60 a 64 años";2471
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 65 a 69 años";2959
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 70 a 74 años";2724
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 75 a 79 años";2160
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 80 a 84 años";1232
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 85 a 89 años";371
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"De 90 a 94 años";96
"1 de enero de 2015";"03133 - Torrevieja";"Hombres";"Total";45018
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"95 y más años";48
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 0 a 4 años";1640
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 10 a 14 años";1988
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 15 a 19 años";1831
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 20 a 24 años";1955
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 25 a 29 años";2404
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 30 a 34 años";3032
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 35 a 39 años";3459
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 40 a 44 años";3449
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 45 a 49 años";3212
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 5 a 9 años";2110
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 50 a 54 años";3065
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 55 a 59 años";2677
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 60 a 64 años";2769
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 65 a 69 años";3278
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 70 a 74 años";2852
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 75 a 79 años";2200
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 80 a 84 años";1325
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 85 a 89 años";659
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"De 90 a 94 años";224
"1 de enero de 2015";"03133 - Torrevieja";"Mujeres";"Total";44175
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"95 y más años";62
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 0 a 4 años";3455
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 10 a 14 años";4086
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 15 a 19 años";3781
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 20 a 24 años";4067
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 25 a 29 años";4880
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 30 a 34 años";5826
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 35 a 39 años";7293
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 40 a 44 años";7506
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 45 a 49 años";6889
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 5 a 9 años";4250
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 50 a 54 años";6337
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 55 a 59 años";5544
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 60 a 64 años";5235
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 65 a 69 años";6175
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 70 a 74 años";5716
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 75 a 79 años";4628
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 80 a 84 años";2798
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 85 a 89 años";1128
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"De 90 a 94 años";345
"1 de enero de 2016";"03133 - Torrevieja";"Ambos sexos";"Total";90001
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"95 y más años";19
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 0 a 4 años";1855
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 10 a 14 años";2106
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 15 a 19 años";1957
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 20 a 24 años";2118
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 25 a 29 años";2490
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 30 a 34 años";2924
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 35 a 39 años";3842
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 40 a 44 años";3957
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 45 a 49 años";3641
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 5 a 9 años";2205
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 50 a 54 años";3241
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 55 a 59 años";2719
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 60 a 64 años";2474
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 65 a 69 años";2895
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 70 a 74 años";2784
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 75 a 79 años";2258
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 80 a 84 años";1349
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 85 a 89 años";397
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"De 90 a 94 años";117
"1 de enero de 2016";"03133 - Torrevieja";"Hombres";"Total";45349
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"95 y más años";43
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 0 a 4 años";1600
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 10 a 14 años";1980
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 15 a 19 años";1824
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 20 a 24 años";1949
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 25 a 29 años";2390
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 30 a 34 años";2902
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 35 a 39 años";3451
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 40 a 44 años";3549
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 45 a 49 años";3248
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 5 a 9 años";2046
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 50 a 54 años";3095
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 55 a 59 años";2824
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 60 a 64 años";2761
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 65 a 69 años";3280
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 70 a 74 años";2932
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 75 a 79 años";2369
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 80 a 84 años";1449
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 85 a 89 años";732
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"De 90 a 94 años";228
"1 de enero de 2016";"03133 - Torrevieja";"Mujeres";"Total";44653
"1 de enero de 2017";"03133 - Torrevieja";"Ambos sexos";"95 y más años";59
