fecha;pais_orig;mun_dest;turistas
2020-05-01;Islandia;Torrevieja;55
2020-05-01;Italia;Torrevieja;81
2020-05-01;Noruega;Torrevieja;199
2020-05-01;Países Bajos;Torrevieja;181
2020-05-01;Polonia;Torrevieja;86
2020-05-01;Reino Unido;Torrevieja;660
2020-05-01;Alemania;Torrevieja;320
2020-05-01;Suecia;Torrevieja;502
2020-05-01;Suiza;Torrevieja;40
2020-05-01;Ucrania;Torrevieja;84
2020-05-01;Letonia;Torrevieja;32
2020-05-01;Estonia;Torrevieja;34
2020-05-01;Lituania;Torrevieja;41
2020-05-01;República Checa;Torrevieja;33
2020-05-01;Rusia;Torrevieja;483
2020-05-01;Marruecos;Torrevieja;47
2020-05-01;EE.UU.;Torrevieja;31
2020-05-01;Colombia;Torrevieja;43
2020-05-01;China;Torrevieja;36
2020-06-01;Total;Torrevieja;4462
2020-06-01;Total Europa;Torrevieja;4211
2020-06-01;Total Unión Europea;Torrevieja;2573
2020-06-01;Total África;Torrevieja;73
2020-06-01;Total América;Torrevieja;113
2020-06-01;Total América del Norte;Torrevieja;39
2020-06-01;Total Sudamérica;Torrevieja;66
2020-06-01;Total Asia;Torrevieja;63
2020-06-01;Bélgica;Torrevieja;328
2020-06-01;Bulgaria;Torrevieja;35
2020-06-01;Dinamarca;Torrevieja;30
2020-06-01;Finlandia;Torrevieja;159
2020-06-01;Francia;Torrevieja;354
2020-06-01;Irlanda;Torrevieja;47
2020-06-01;Islandia;Torrevieja;49
2020-06-01;Italia;Torrevieja;103
2020-06-01;Noruega;Torrevieja;188
2020-06-01;Países Bajos;Torrevieja;233
2020-06-01;Polonia;Torrevieja;124
2020-06-01;Reino Unido;Torrevieja;819
2020-06-01;Alemania;Torrevieja;450
2020-06-01;Suecia;Torrevieja;482
2020-06-01;Suiza;Torrevieja;48
2020-06-01;Ucrania;Torrevieja;87
2020-06-01;Letonia;Torrevieja;36
2020-06-01;Estonia;Torrevieja;54
2020-06-01;Rusia;Torrevieja;429
2020-06-01;Marruecos;Torrevieja;47
2020-06-01;EE.UU.;Torrevieja;37
2020-06-01;Colombia;Torrevieja;47
2020-06-01;China;Torrevieja;41
2020-07-01;Total;Torrevieja;19244
2020-07-01;Total Europa;Torrevieja;18904
2020-07-01;Total Unión Europea;Torrevieja;14219
2020-07-01;Total África;Torrevieja;110
2020-07-01;Total América;Torrevieja;136
2020-07-01;Total América del Norte;Torrevieja;69
2020-07-01;Total Sudamérica;Torrevieja;64
2020-07-01;Total Asia;Torrevieja;93
2020-07-01;Austria;Torrevieja;91
2020-07-01;Bélgica;Torrevieja;3983
2020-07-01;Bulgaria;Torrevieja;66
2020-07-01;Dinamarca;Torrevieja;451
2020-07-01;Finlandia;Torrevieja;329
2020-07-01;Francia;Torrevieja;2342
2020-07-01;Hungria;Torrevieja;83
2020-07-01;Irlanda;Torrevieja;254
2020-07-01;Islandia;Torrevieja;83
2020-07-01;Italia;Torrevieja;226
2020-07-01;Luxemburgo;Torrevieja;100
2020-07-01;Noruega;Torrevieja;803
2020-07-01;Países Bajos;Torrevieja;623
2020-07-01;Polonia;Torrevieja;631
2020-07-01;Portugal;Torrevieja;35
2020-07-01;Reino Unido;Torrevieja;2881
2020-07-01;Alemania;Torrevieja;2059
2020-07-01;Rumania;Torrevieja;62
2020-07-01;Suecia;Torrevieja;2538
2020-07-01;Suiza;Torrevieja;327
2020-07-01;Ucrania;Torrevieja;154
2020-07-01;Letonia;Torrevieja;64
2020-07-01;Estonia;Torrevieja;86
2020-07-01;Lituania;Torrevieja;92
2020-07-01;República Checa;Torrevieja;80
2020-07-01;Rusia;Torrevieja;413
2020-07-01;Argelia;Torrevieja;34
2020-07-01;Marruecos;Torrevieja;57
2020-07-01;EE.UU.;Torrevieja;67
2020-07-01;Colombia;Torrevieja;47
2020-07-01;China;Torrevieja;47
2020-08-01;Total;Torrevieja;29451
2020-08-01;Total Europa;Torrevieja;29032
2020-08-01;Total Unión Europea;Torrevieja;23994
2020-08-01;Total África;Torrevieja;165
2020-08-01;Total América;Torrevieja;158
2020-08-01;Total América del Norte;Torrevieja;80
2020-08-01;Total Sudamérica;Torrevieja;75
2020-08-01;Total Asia;Torrevieja;94
2020-08-01;Austria;Torrevieja;93
2020-08-01;Bélgica;Torrevieja;5589
2020-08-01;Bulgaria;Torrevieja;79
2020-08-01;Dinamarca;Torrevieja;427
2020-08-01;Finlandia;Torrevieja;248
2020-08-01;Francia;Torrevieja;6605
2020-08-01;Hungria;Torrevieja;106
2020-08-01;Irlanda;Torrevieja;445
2020-08-01;Islandia;Torrevieja;127
2020-08-01;Italia;Torrevieja;347
2020-08-01;Luxemburgo;Torrevieja;128
2020-08-01;Noruega;Torrevieja;485
2020-08-01;Países Bajos;Torrevieja;1140
2020-08-01;Polonia;Torrevieja;1029
2020-08-01;Portugal;Torrevieja;108
2020-08-01;Reino Unido;Torrevieja;3519
2020-08-01;Alemania;Torrevieja;2972
2020-08-01;Rumania;Torrevieja;98
2020-08-01;Suecia;Torrevieja;4202
2020-08-01;Suiza;Torrevieja;359
